                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2349,                 3.1648,                 1.1199,                0.23633,                 0.3521,                   0.21,                0.15522,                 1.0084,                 2.1759,                0.99994,               0.070244,              0.0033062,              0.0033062
                      2,                0.95991,                 1.9279,                0.99309,                0.27937,                0.48412,                0.32213,                0.20636,                 1.2542,                 1.6913,                 1.1559,               0.040025,              0.0064205,              0.0064205
                      3,                0.85253,                 1.7612,                0.95774,                0.23542,                0.36233,                 0.2682,                 0.2304,                0.54218,                  1.919,                0.86599,              0.0095857,              0.0093147,              0.0093147
                      4,                0.84424,                 1.5946,                0.95543,                0.31808,                 0.5621,                0.35854,                0.28493,                0.79502,                 1.5374,                0.94341,                0.00901,                0.00901,                0.00901
                      5,                0.80109,                 1.4518,                0.96123,                0.37609,                0.53127,                0.40799,                0.34901,                0.58357,                 1.6104,                0.87864,                0.00901,                0.00901,                0.00901
                      6,                0.74936,                 1.3681,                0.94745,                0.35945,                0.63237,                0.46485,                0.39663,                0.57206,                 1.6559,                0.87475,                0.00868,                0.00868,                0.00868
                      7,                0.70106,                 1.3242,                0.92038,                0.47056,                0.53276,                0.47637,                0.41387,                0.52986,                 1.3147,                0.87574,                0.00835,                0.00835,                0.00835
                      8,                0.66965,                 1.3006,                0.92577,                0.44731,                0.56885,                0.51993,                0.40634,                0.71232,                   1.26,                0.96658,                0.00802,                0.00802,                0.00802
                      9,                0.65354,                 1.2698,                0.91839,                0.41379,                0.61086,                0.52279,                0.36069,                 1.0881,                 1.2834,                  1.193,                0.00769,                0.00769,                0.00769
                     10,                0.62708,                 1.2154,                0.90926,                0.48143,                0.55368,                0.48529,                0.43415,                0.48527,                 1.2812,                0.86366,                0.00736,                0.00736,                0.00736
                     11,                0.59668,                  1.157,                 0.9009,                0.46189,                0.60586,                0.55365,                0.49995,                0.44348,                 1.1262,                0.84539,                0.00703,                0.00703,                0.00703
                     12,                0.59329,                 1.1766,                0.90463,                0.46583,                0.61553,                0.54264,                0.49224,                0.40048,                 1.1481,                0.83967,                 0.0067,                 0.0067,                 0.0067
                     13,                0.56477,                 1.1148,                0.89891,                0.44944,                0.58482,                 0.5652,                0.51662,                0.42496,                 1.1491,                0.84055,                0.00637,                0.00637,                0.00637
                     14,                0.54477,                 1.0733,                0.89269,                0.48088,                0.60784,                0.56731,                0.52127,                0.39089,                 1.1116,                0.84946,                0.00604,                0.00604,                0.00604
                     15,                0.52644,                 1.0916,                  0.892,                0.45796,                 0.6382,                0.57561,                0.53033,                0.38808,                 1.0892,                0.83735,                0.00571,                0.00571,                0.00571
                     16,                0.51551,                  1.053,                0.87975,                0.60118,                0.60132,                 0.6174,                0.56458,                0.38264,                 1.0108,                0.83096,                0.00538,                0.00538,                0.00538
                     17,                0.48746,                 1.0113,                0.86551,                0.51085,                0.63811,                0.61093,                0.56546,                0.37322,                 1.0521,                0.82747,                0.00505,                0.00505,                0.00505
                     18,                0.49255,                0.98908,                0.87737,                0.55805,                0.60031,                 0.6101,                0.57263,                0.35213,                 1.0334,                 0.8311,                0.00472,                0.00472,                0.00472
                     19,                 0.4649,                 0.9703,                0.86232,                0.55812,                 0.6424,                0.62334,                 0.5806,                0.37535,                0.98335,                0.83366,                0.00439,                0.00439,                0.00439
                     20,                0.46438,                 0.9441,                0.86706,                 0.5842,                0.60796,                0.65085,                0.60909,                0.33685,                0.95563,                0.82656,                0.00406,                0.00406,                0.00406
                     21,                0.36469,                0.88458,                0.82602,                0.62802,                0.56779,                0.64042,                0.60059,                0.35086,                0.97012,                0.83342,                0.00373,                0.00373,                0.00373
                     22,                0.35687,                0.84298,                0.82836,                0.54059,                0.69728,                0.64871,                0.61532,                0.31299,                0.90845,                0.82204,                 0.0034,                 0.0034,                 0.0034
                     23,                0.34952,                0.81215,                0.82022,                0.59848,                0.66738,                0.66604,                0.62744,                 0.3198,                0.92046,                0.82203,                0.00307,                0.00307,                0.00307
                     24,                0.33045,                0.77657,                0.80668,                0.61218,                0.61896,                0.65004,                0.62028,                0.30056,                0.90972,                0.81576,                0.00274,                0.00274,                0.00274
                     25,                0.32479,                0.74551,                0.81695,                0.63303,                0.62838,                0.66174,                 0.6319,                0.32014,                0.92225,                0.82191,                0.00241,                0.00241,                0.00241
                     26,                0.31611,                0.72465,                0.82115,                0.63702,                0.65183,                 0.6854,                0.65216,                0.29512,                0.85228,                0.81236,                0.00208,                0.00208,                0.00208
                     27,                0.30889,                0.66982,                0.81736,                0.67176,                 0.6302,                0.68214,                0.65158,                0.29155,                0.86798,                0.81791,                0.00175,                0.00175,                0.00175
                     28,                0.29643,                0.64118,                0.80747,                0.59628,                0.70061,                0.67199,                0.64602,                0.27774,                0.87775,                0.81061,                0.00142,                0.00142,                0.00142
                     29,                0.27518,                0.61426,                0.79906,                0.60488,                0.64763,                0.66686,                0.63938,                0.28398,                0.89537,                0.81103,                0.00109,                0.00109,                0.00109
                     30,                0.27261,                0.58264,                0.79789,                0.58288,                0.69976,                0.69085,                0.66751,                0.27284,                0.87936,                0.80979,                0.00076,                0.00076,                0.00076
