                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0009,                 2.4346,                 1.0782,                0.23353,                0.49912,                0.29336,                0.25777,                0.47579,                 1.3867,                0.83166,               0.066736,              0.0027243,              0.0027243
                      2,                0.77723,                 1.4674,                0.95185,                0.31854,                0.46757,                0.36058,                0.22608,                 1.2311,                 1.3103,                 1.1409,                0.03302,              0.0052911,              0.0052911
                      3,                0.69909,                 1.3644,                0.91548,                0.31489,                0.56466,                0.41682,                0.36954,                0.48104,                 1.2086,                0.84049,              0.0070724,              0.0070724,              0.0070724
                      4,                0.63348,                  1.233,                0.89473,                  0.406,                0.60615,                  0.485,                0.40924,                0.59388,                 1.0795,                0.89407,              0.0068236,              0.0068236,              0.0068236
                      5,                0.59639,                 1.1514,                0.89046,                0.31813,                0.64441,                0.43278,                0.38264,                0.46876,                 1.2196,                0.84885,              0.0065748,              0.0065748,              0.0065748
                      6,                0.55449,                 1.1004,                0.87472,                0.45359,                0.58322,                0.49095,                0.41368,                0.62357,                 1.0582,                0.91035,               0.006326,               0.006326,               0.006326
                      7,                0.55193,                 1.0821,                0.88106,                0.43886,                0.56321,                0.50931,                 0.4528,                0.46489,                 1.0244,                0.84638,              0.0060772,              0.0060772,              0.0060772
                      8,                0.51525,                 1.0209,                0.86047,                0.48302,                0.52814,                0.49716,                0.44778,                0.41842,                  1.141,                0.83435,              0.0058284,              0.0058284,              0.0058284
                      9,                0.50814,                0.99034,                0.86749,                0.49931,                0.62377,                0.57564,                0.46035,                0.66756,                0.96336,                0.93917,              0.0055796,              0.0055796,              0.0055796
                     10,                0.48509,                0.95629,                0.85192,                0.47052,                0.61267,                0.56792,                0.51695,                0.40786,                0.96547,                0.82493,              0.0053308,              0.0053308,              0.0053308
                     11,                0.48811,                 0.9093,                 0.8594,                0.54574,                0.62968,                0.59441,                0.52831,                0.44146,                0.92403,                0.83849,               0.005082,               0.005082,               0.005082
                     12,                0.46553,                0.87552,                0.85461,                0.54307,                0.62358,                0.58782,                0.54889,                 0.3465,                0.91986,                0.80913,              0.0048332,              0.0048332,              0.0048332
                     13,                0.44211,                 0.8667,                0.84399,                0.52802,                0.65141,                0.59641,                0.36484,                 1.3216,                 1.0087,                 1.3513,              0.0045845,              0.0045845,              0.0045845
                     14,                0.43923,                0.84759,                0.84568,                0.48549,                0.66314,                0.60549,                0.56607,                 0.3338,                0.89588,                0.80456,              0.0043357,              0.0043357,              0.0043357
                     15,                0.43126,                0.82102,                0.84365,                0.50048,                0.65935,                0.60406,                0.56254,                 0.3377,                0.90897,                0.80389,              0.0040869,              0.0040869,              0.0040869
                     16,                0.41579,                0.77771,                0.83826,                0.50614,                0.68076,                0.61548,                0.57275,                0.34769,                0.86867,                0.80769,              0.0038381,              0.0038381,              0.0038381
                     17,                0.40802,                0.74858,                0.83839,                0.58269,                0.66852,                0.65351,                 0.6137,                0.35406,                 0.8426,                0.81621,              0.0035893,              0.0035893,              0.0035893
                     18,                0.39259,                0.72575,                0.83124,                  0.581,                0.64307,                0.63361,                0.59863,                0.30867,                0.86109,                0.79683,              0.0033405,              0.0033405,              0.0033405
                     19,                0.38546,                0.69353,                0.83189,                0.58985,                0.63704,                0.64075,                0.61148,                0.28463,                0.83943,                0.79263,              0.0030917,              0.0030917,              0.0030917
                     20,                0.36975,                0.69038,                0.82421,                0.56035,                0.68666,                0.66375,                0.62775,                0.28831,                0.78801,                0.79712,              0.0028429,              0.0028429,              0.0028429
                     21,                0.29121,                0.58342,                0.78881,                0.69335,                0.61949,                0.69055,                0.65818,                0.28528,                0.78059,                0.79533,              0.0025941,              0.0025941,              0.0025941
                     22,                0.28731,                0.54021,                0.78324,                0.64667,                0.62874,                0.64979,                0.61874,                0.28266,                 0.8678,                0.79662,              0.0023453,              0.0023453,              0.0023453
                     23,                0.27927,                0.50289,                0.78396,                0.62207,                0.64405,                0.67822,                0.64764,                0.29952,                0.80607,                 0.8023,              0.0020965,              0.0020965,              0.0020965
                     24,                 0.2711,                0.47665,                0.77862,                0.68816,                0.63512,                0.70107,                0.67086,                0.26572,                 0.8013,                0.78802,              0.0018477,              0.0018477,              0.0018477
                     25,                0.25949,                0.44919,                0.77704,                0.61426,                0.69615,                0.70033,                0.67418,                0.25629,                0.81355,                0.78885,              0.0015989,              0.0015989,              0.0015989
                     26,                0.24983,                0.42775,                0.77146,                0.63116,                0.68573,                0.68573,                0.65498,                0.27142,                0.81704,                0.79358,              0.0013501,              0.0013501,              0.0013501
                     27,                0.24699,                0.40264,                0.77799,                0.66951,                0.68788,                0.69805,                0.67361,                0.24274,                0.80506,                0.78362,              0.0011013,              0.0011013,              0.0011013
                     28,                0.23773,                0.36174,                0.76928,                0.69519,                0.68375,                0.72801,                0.69671,                0.26419,                0.81758,                0.79587,             0.00085252,             0.00085252,             0.00085252
                     29,                0.23827,                0.35704,                 0.7754,                 0.6319,                0.72793,                0.71069,                0.68176,                0.28058,                0.82509,                0.80214,             0.00060372,             0.00060372,             0.00060372
                     30,                0.23127,                 0.3185,                0.77169,                0.70619,                0.68708,                0.73129,                0.70469,                0.24786,                0.80263,                0.79181,             0.00035493,             0.00035493,             0.00035493
