fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.76843,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.77128,0.01,0.01017,0.95242,0.00043,3.30461,0.95,7.5,0.54235,1.60141,0.01448,0.67891,0.4492,0.0,0.09604,0.54014,0.0,0.0,0.0,0.47849,0.0,1.0,0.0,0.0
0.7536,0.01069,0.01017,0.98,0.00046,2.78215,0.95,7.24326,0.48248,1.60384,0.0129,0.67891,0.5441,0.0,0.09604,0.54014,0.0,0.0,0.0,0.54739,0.0,0.88537,0.0,0.0
0.76306,0.00895,0.01106,0.94958,0.00037,3.81089,0.87212,7.5,0.49015,1.58793,0.01425,0.72666,0.4492,0.0,0.07797,0.50889,0.0,0.0,0.0,0.50477,0.0,1.0,0.0,0.0
0.765,0.00699,0.0107,0.97559,0.00042,4.23677,0.76045,7.75686,0.55783,1.62162,0.01491,0.72666,0.48234,0.0,0.08086,0.50809,0.0,0.0,0.0,0.42783,0.0,1.0,0.0,0.0
0.76193,0.00895,0.01106,0.94958,0.00036,3.75692,0.87212,7.71802,0.50841,1.56988,0.01605,0.72261,0.45284,0.0,0.07736,0.50889,0.0,0.0,0.0,0.51414,0.0,1.0,0.0,0.0
0.75163,0.00972,0.00984,0.92425,0.0005,2.96698,0.79295,7.25817,0.5,1.55133,0.01497,0.67928,0.41149,0.0,0.10111,0.49421,0.0,0.0,0.0,0.52215,0.0,0.99511,0.0,0.0
0.77094,0.00699,0.01067,0.97366,0.00039,4.10955,0.58725,7.19396,0.57158,2.06987,0.01491,0.58263,0.43996,0.0,0.10614,0.36473,0.0,0.0,0.0,0.42783,0.0,0.98687,0.0,0.0
0.77273,0.01,0.00901,0.91649,0.0004,3.07822,0.66713,8.09547,0.5,1.53123,0.015,0.67136,0.37379,0.0,0.1,0.42417,0.0,0.0,0.0,0.43205,0.0,1.0,0.0,0.0
0.76283,0.00744,0.0102,0.98,0.0004,2.29774,0.56184,7.19396,0.54128,2.64511,0.01037,0.3398,0.38738,0.0,0.13357,0.43263,0.0,0.0,0.0,0.49349,0.0,0.98687,0.0,0.0
0.75946,0.00832,0.01081,0.98,0.00039,4.71525,0.58725,5.91137,0.77376,1.87996,0.01471,0.45179,0.491,0.0,0.10614,0.4186,0.0,0.0,0.0,0.54302,0.0,0.91822,0.0,0.0
0.7579,0.01134,0.01017,0.95242,0.00043,2.87992,0.95,8.82452,0.54235,1.55296,0.01372,0.72944,0.44049,0.0,0.09604,0.54014,0.0,0.0,0.0,0.35159,0.0,0.96921,0.0,0.0
0.76094,0.00699,0.01032,0.98,0.00039,4.11547,0.60618,6.91324,0.57158,1.9989,0.01455,0.5684,0.41213,0.0,0.10614,0.37851,0.0,0.0,0.0,0.39696,0.0,1.0,0.0,0.0
0.75947,0.00957,0.00877,0.95036,0.00054,2.69303,0.7472,6.08353,0.50611,1.6148,0.01633,0.67474,0.4,0.0,0.09823,0.46601,0.0,0.0,0.0,0.51741,0.0,1.0,0.0,0.0
0.75532,0.01,0.00903,0.91807,0.0004,3.07822,0.66713,8.01817,0.49433,1.52272,0.01504,0.67136,0.37128,0.0,0.1,0.4299,0.0,0.0,0.0,0.43446,0.0,0.9944,0.0,0.0
0.74721,0.00838,0.00971,0.98,0.00051,3.30461,0.95,7.64199,0.50743,1.94592,0.01203,0.66025,0.54135,0.0,0.09604,0.63533,0.0,0.0,0.0,0.37607,0.0,1.0,0.0,0.0
0.75945,0.00666,0.01067,0.97351,0.00039,4.09009,0.59655,7.48277,0.56542,1.98668,0.01528,0.59736,0.45817,0.0,0.11359,0.36473,0.0,0.0,0.0,0.42459,0.0,0.99933,0.0,0.0
0.77917,0.01026,0.00997,0.95266,0.00044,3.36638,0.93664,8.02901,0.54131,1.60141,0.01505,0.70195,0.44586,0.0,0.09604,0.52921,0.0,0.0,0.0,0.44003,0.0,0.97162,0.0,0.0
0.74864,0.01,0.01155,0.95242,0.00032,3.30461,0.93067,7.69008,0.66982,1.24946,0.01459,0.65461,0.44757,0.0,0.10731,0.63968,0.0,0.0,0.0,0.33468,0.0,1.0,0.0,0.0
0.75515,0.01005,0.0099,0.95266,0.00045,3.36638,0.89666,7.94928,0.52001,1.6193,0.01532,0.70195,0.43001,0.0,0.09681,0.52921,0.0,0.0,0.0,0.43599,0.0,0.9685,0.0,0.0
