                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.44588,                 0.5001,                 1.0768,                0.76331,                0.64956,                0.70911,                0.66294,                 0.4008,                 1.1412,                 1.0933,               0.072401,              0.0025243,              0.0025243
                      2,                0.52066,                0.63158,                 1.1184,                 0.6561,                0.63012,                0.66051,                0.61219,                0.42235,                 1.2175,                 1.1037,               0.044679,               0.005049,               0.005049
                      3,                0.58281,                0.83297,                 1.1439,                0.55523,                0.59032,                0.60383,                0.54068,                0.52279,                 1.1899,                 1.1204,               0.016946,              0.0075636,              0.0075636
                      4,                0.66504,                 1.0291,                  1.173,                0.62295,                 0.5097,                0.57382,                0.51256,                0.47864,                  1.235,                 1.1198,              0.0083302,              0.0083302,              0.0083302
                      5,                0.72705,                 1.1171,                 1.1958,                0.48314,                0.61234,                0.55615,                0.35525,                 1.3185,                 1.3527,                 1.4569,              0.0083136,              0.0083136,              0.0083136
                      6,                0.70541,                 1.1527,                 1.1659,                0.49797,                0.58066,                0.53624,                0.46867,                0.54876,                 1.1864,                 1.1276,               0.008297,               0.008297,               0.008297
                      7,                0.73089,                 1.1927,                 1.1913,                0.46875,                0.54953,                0.51281,                0.44813,                0.55085,                 1.2669,                 1.1338,              0.0082804,              0.0082804,              0.0082804
                      8,                0.73873,                   1.21,                 1.1981,                0.47522,                0.60012,                0.53634,                  0.475,                0.53414,                 1.2329,                 1.1188,              0.0082638,              0.0082638,              0.0082638
                      9,                0.70183,                 1.1858,                 1.1772,                 0.5145,                  0.547,                0.55757,                 0.4817,                0.57226,                 1.1885,                 1.1328,              0.0082472,              0.0082472,              0.0082472
                     10,                0.72142,                 1.2022,                  1.172,                  0.474,                0.55771,                0.51785,                0.45335,                0.53105,                 1.2422,                 1.1308,              0.0082306,              0.0082306,              0.0082306
                     11,                0.67846,                 1.1952,                 1.1806,                0.48525,                0.60808,                0.55157,                 0.4957,                0.50435,                 1.1415,                 1.1174,               0.008214,               0.008214,               0.008214
                     12,                0.70554,                 1.1997,                 1.1959,                0.45418,                0.57757,                0.53386,                0.46942,                 0.5216,                 1.2024,                 1.1132,              0.0081974,              0.0081974,              0.0081974
