                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9744,                 8.1926,                 6.2835,                 3.4043,                0.06469,                0.15462,                0.05244,                0.01591,                0.08217,                0.19917,                0.06799,                0.02177,                 2.7445,                 3.4621,                 2.7548,                 2.4089,             0.00041328,             0.00041328,             0.00041328
                      2,                 2.0873,                 1.9096,                  2.544,                 1.7183,                0.05123,                0.43912,                0.10342,                0.06294,                0.05146,                0.44721,                0.10574,                0.06731,                 1.5321,                 1.2078,                 6.4437,                   1.47,             0.00082721,             0.00082721,             0.00082721
                      3,                 1.7048,                 1.6564,                 2.1332,                 1.4043,                 0.2042,                0.29464,                0.21972,                0.13456,                0.20721,                0.30274,                0.22575,                0.13589,                 1.4246,                 1.4009,                 2.0615,                 1.3138,              0.0012384,              0.0012384,              0.0012384
                      4,                 1.5086,                 1.5206,                 1.9865,                 1.2632,                0.22353,                0.35604,                0.23112,                0.15509,                0.22575,                0.36143,                0.23673,                0.13642,                 1.2712,                 1.1486,                 2.0908,                 1.2051,              0.0012376,              0.0012376,              0.0012376
                      5,                 1.4121,                  1.466,                   1.87,                 1.1885,                0.25222,                0.51514,                 0.2819,                0.18941,                0.25501,                0.52192,                  0.287,                0.19878,                 1.2293,                 1.0738,                 1.8447,                 1.1663,              0.0012335,              0.0012335,              0.0012335
                      6,                 1.3569,                 1.3782,                 1.8401,                 1.1606,                0.24828,                0.53976,                0.28801,                0.19007,                0.24905,                0.54156,                0.29031,                0.16084,                 1.3244,                  1.521,                 1.7927,                 1.1967,              0.0012294,              0.0012294,              0.0012294
                      7,                 1.2901,                 1.3824,                 1.7682,                 1.1196,                0.19888,                0.52148,                0.28435,                0.18925,                0.19994,                0.52598,                 0.2885,                0.14641,                  1.224,                 1.3579,                 1.7713,                 1.1325,              0.0012252,              0.0012252,              0.0012252
                      8,                 1.2858,                 1.3529,                 1.7173,                 1.1178,                0.27893,                0.48499,                0.28075,                0.18696,                0.27995,                0.49107,                 0.2835,                0.15499,                 1.2173,                 1.4286,                 1.7589,                 1.1169,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.2181,                 1.3307,                 1.6705,                 1.0955,                0.22254,                0.55643,                0.31691,                0.23228,                0.22397,                0.55622,                0.32047,                0.18892,                 1.0633,                 1.2015,                 1.7412,                 1.0888,               0.001217,               0.001217,               0.001217
                     10,                 1.1914,                 1.3094,                 1.6233,                 1.0613,                0.25939,                0.50651,                0.32234,                0.24102,                0.26026,                0.50921,                0.32534,                0.17321,                0.97601,                 1.3309,                 1.6049,                 1.0251,              0.0012129,              0.0012129,              0.0012129
                     11,                 1.1711,                  1.285,                 1.5991,                 1.0637,                0.27996,                0.49687,                0.32559,                0.24204,                 0.2817,                0.50047,                0.32683,                0.19483,                 1.0033,                 1.1132,                 1.6888,                 1.0412,              0.0012087,              0.0012087,              0.0012087
                     12,                 1.1262,                 1.2512,                 1.5608,                 1.0349,                0.25046,                 0.4352,                0.28339,                0.21394,                0.25258,                 0.4379,                0.28684,                0.18608,                0.99702,                 1.0862,                 1.9492,                 1.0428,              0.0012046,              0.0012046,              0.0012046
                     13,                 1.1212,                 1.2587,                 1.5716,                 1.0363,                0.32264,                0.54873,                0.35868,                  0.255,                0.32386,                0.55142,                0.36051,                0.19414,                 1.0475,                  1.159,                 1.6044,                 1.0378,              0.0012005,              0.0012005,              0.0012005
                     14,                 1.1122,                 1.2481,                 1.5399,                 1.0356,                0.30245,                0.47206,                0.33621,                0.23529,                0.30647,                0.47356,                0.34356,                0.16955,                 1.1092,                 1.3017,                 1.7419,                 1.0672,              0.0011964,              0.0011964,              0.0011964
                     15,                 1.1119,                 1.2404,                 1.5258,                 1.0341,                0.32288,                0.57523,                0.40859,                0.29449,                0.32305,                0.57682,                0.41227,                0.22996,                 1.0178,                 1.1319,                 1.4995,                 1.0179,              0.0011922,              0.0011922,              0.0011922
                     16,                 1.0626,                 1.2425,                  1.494,                 1.0211,                0.32827,                 0.5563,                0.39605,                0.29072,                0.32946,                  0.559,                0.39953,                0.23188,                0.94302,                 1.1472,                 1.4678,                 1.0009,              0.0011881,              0.0011881,              0.0011881
                     17,                 1.0414,                 1.2064,                  1.474,                 1.0056,                0.30909,                0.57646,                 0.3985,                0.29714,                0.31236,                0.57845,                0.39848,                0.23439,                0.88878,                 1.0555,                 1.4741,                 0.9816,               0.001184,               0.001184,               0.001184
                     18,                 1.0475,                 1.2092,                 1.4815,                 1.0141,                0.38977,                0.57166,                0.42503,                0.30615,                0.39032,                0.57256,                0.42671,                0.24095,                0.97291,                 1.1089,                 1.3937,                0.98977,              0.0011799,              0.0011799,              0.0011799
