               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               6.605,              14.437,              5.9416,             0.25806,            0.002907,          0.00061241,          7.9431e-05,                   0,                   0,                   0,            0.070122,           0.0033197,           0.0033197
                   1,              4.6715,              7.2457,              4.3865,             0.03682,             0.35603,            0.036324,            0.010707,                   0,                   0,                   0,            0.040117,           0.0066478,           0.0066478
                   2,              3.0202,              4.1657,              2.6652,              0.1028,             0.42798,            0.097457,            0.034491,                   0,                   0,                   0,            0.010107,           0.0099706,           0.0099706
                   3,              2.5738,              3.2115,              1.9487,             0.12512,             0.23749,             0.13066,            0.073017,                   0,                   0,                   0,           0.0099762,           0.0099762,           0.0099762
                   4,              2.3021,              2.9326,              1.7598,             0.16684,             0.38091,             0.18953,              0.1116,                   0,                   0,                   0,           0.0099762,           0.0099762,           0.0099762
                   5,              2.0695,              2.6952,              1.5699,             0.21152,             0.39316,             0.23943,             0.12239,                   0,                   0,                   0,           0.0099683,           0.0099683,           0.0099683
                   6,               1.989,              2.5889,              1.5483,             0.17626,             0.52286,             0.23629,             0.15371,                   0,                   0,                   0,           0.0099604,           0.0099604,           0.0099604
                   7,              1.8981,              2.5031,              1.4871,             0.21133,             0.39543,             0.19621,             0.12535,                   0,                   0,                   0,           0.0099525,           0.0099525,           0.0099525
                   8,              1.8354,              2.4109,              1.4503,             0.20342,             0.41272,             0.25599,             0.18368,                   0,                   0,                   0,           0.0099446,           0.0099446,           0.0099446
                   9,              1.7804,              2.3582,              1.4257,             0.19497,             0.55033,             0.28325,             0.19607,                   0,                   0,                   0,           0.0099366,           0.0099366,           0.0099366
                  10,              1.7659,              2.3093,              1.4136,             0.23515,              0.5159,             0.27223,             0.21529,                   0,                   0,                   0,           0.0099287,           0.0099287,           0.0099287
                  11,              1.6778,              2.2673,              1.3888,             0.22545,              0.5084,             0.26201,             0.20359,                   0,                   0,                   0,           0.0099208,           0.0099208,           0.0099208
                  12,              1.6517,              2.2321,              1.3832,            0.046846,            0.046295,            0.028417,            0.016347,                   0,                   0,                   0,           0.0099129,           0.0099129,           0.0099129
                  13,              1.6645,              2.2161,              1.3572,             0.23213,             0.40332,             0.24379,             0.19513,                   0,                   0,                   0,            0.009905,            0.009905,            0.009905
                  14,              1.6341,              2.1904,              1.3634,             0.28015,             0.52589,             0.33671,             0.24686,                   0,                   0,                   0,            0.009897,            0.009897,            0.009897
                  15,              1.6132,              2.1479,              1.3604,             0.26606,             0.48047,             0.30997,             0.20527,                   0,                   0,                   0,           0.0098891,           0.0098891,           0.0098891
                  16,              1.5733,              2.0916,              1.3227,             0.29014,             0.53232,             0.32846,             0.24911,                   0,                   0,                   0,           0.0098812,           0.0098812,           0.0098812
                  17,               1.584,              2.1167,              1.3423,             0.26266,             0.51847,               0.302,             0.19986,                   0,                   0,                   0,           0.0098733,           0.0098733,           0.0098733
                  18,              1.5583,              2.0438,              1.3332,              0.2157,             0.48152,             0.29693,             0.22284,                   0,                   0,                   0,           0.0098654,           0.0098654,           0.0098654
                  19,              1.5415,              2.0266,              1.3104,             0.31174,             0.54882,             0.37591,             0.28566,                   0,                   0,                   0,           0.0098574,           0.0098574,           0.0098574
                  20,              1.5494,              2.0221,              1.3187,             0.32746,             0.50656,             0.36032,             0.25692,                   0,                   0,                   0,           0.0098495,           0.0098495,           0.0098495
                  21,              1.5207,              1.9869,              1.3041,             0.25827,             0.15982,             0.16154,             0.11812,                   0,                   0,                   0,           0.0098416,           0.0098416,           0.0098416
                  22,               1.506,              1.9915,              1.3125,             0.28229,             0.53974,             0.33599,             0.23787,                   0,                   0,                   0,           0.0098337,           0.0098337,           0.0098337
                  23,              1.5136,              1.9902,              1.3338,             0.33369,             0.51239,             0.39055,             0.30135,                   0,                   0,                   0,           0.0098258,           0.0098258,           0.0098258
                  24,              1.5049,              1.9854,              1.3302,             0.33981,             0.52462,             0.39008,             0.29506,                   0,                   0,                   0,           0.0098178,           0.0098178,           0.0098178
                  25,              1.4769,              1.9435,              1.2863,              0.3643,             0.46165,              0.3729,             0.28465,                   0,                   0,                   0,           0.0098099,           0.0098099,           0.0098099
                  26,              1.4619,               1.948,              1.3171,             0.36957,              0.5345,             0.41175,             0.29483,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                  27,               1.491,              1.9236,              1.3059,              0.3671,             0.54597,             0.41939,             0.32147,                   0,                   0,                   0,           0.0097941,           0.0097941,           0.0097941
                  28,              1.4376,              1.8789,              1.2789,             0.34766,             0.50826,             0.39595,             0.29536,                   0,                   0,                   0,           0.0097862,           0.0097862,           0.0097862
                  29,               1.428,              1.8783,              1.2978,             0.35152,             0.52762,             0.42317,             0.30989,                   0,                   0,                   0,           0.0097782,           0.0097782,           0.0097782
                  30,              1.4271,              1.8733,              1.2912,             0.32006,              0.5979,             0.41125,             0.29442,                   0,                   0,                   0,           0.0097703,           0.0097703,           0.0097703
                  31,              1.4146,              1.8414,              1.2741,             0.41324,             0.51969,             0.44858,             0.33553,                   0,                   0,                   0,           0.0097624,           0.0097624,           0.0097624
                  32,              1.4157,              1.8906,              1.2725,             0.39679,             0.52987,             0.42439,             0.33908,                   0,                   0,                   0,           0.0097545,           0.0097545,           0.0097545
                  33,               1.431,              1.8458,              1.2709,             0.38421,             0.55869,             0.44718,             0.36217,                   0,                   0,                   0,           0.0097466,           0.0097466,           0.0097466
                  34,               1.413,               1.862,              1.2794,             0.39128,             0.59743,             0.47151,             0.34561,                   0,                   0,                   0,           0.0097386,           0.0097386,           0.0097386
                  35,              1.4201,              1.8222,               1.274,             0.36389,             0.61898,             0.47182,             0.36583,                   0,                   0,                   0,           0.0097307,           0.0097307,           0.0097307
                  36,              1.3896,              1.8351,              1.2695,             0.39695,             0.56535,             0.46784,             0.35773,                   0,                   0,                   0,           0.0097228,           0.0097228,           0.0097228
                  37,              1.4062,              1.7997,              1.2846,             0.30019,             0.24022,             0.26662,             0.20825,                   0,                   0,                   0,           0.0097149,           0.0097149,           0.0097149
                  38,              1.3943,              1.8173,              1.2789,             0.40744,             0.57189,             0.48245,             0.36761,                   0,                   0,                   0,            0.009707,            0.009707,            0.009707
                  39,              1.3863,              1.8085,              1.2597,              0.4329,             0.57905,              0.4744,              0.3668,                   0,                   0,                   0,            0.009699,            0.009699,            0.009699
                  40,               1.352,              1.7651,              1.2633,             0.44419,             0.53492,             0.46426,             0.36996,                   0,                   0,                   0,           0.0096911,           0.0096911,           0.0096911
                  41,              1.3595,               1.762,              1.2621,             0.46292,             0.56273,             0.49762,             0.36799,                   0,                   0,                   0,           0.0096832,           0.0096832,           0.0096832
                  42,              1.3662,              1.7522,              1.2664,             0.44639,             0.54863,             0.49892,             0.39454,                   0,                   0,                   0,           0.0096753,           0.0096753,           0.0096753
                  43,              1.3714,              1.7661,              1.2707,             0.45371,                0.54,             0.49135,             0.41195,                   0,                   0,                   0,           0.0096674,           0.0096674,           0.0096674
                  44,              1.3571,              1.7341,              1.2563,             0.48137,              0.5568,             0.51036,             0.37074,                   0,                   0,                   0,           0.0096594,           0.0096594,           0.0096594
