               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              3.9274,              4.8115,              2.7668,             0.02342,             0.66545,            0.044187,            0.022583,                   0,                   0,                   0,            0.067135,          0.00033197,          0.00033197
                   1,              2.5724,              3.0771,              1.8369,               0.156,             0.27254,             0.14152,            0.086963,                   0,                   0,                   0,            0.034134,          0.00066478,          0.00066478
                   2,              2.2159,              2.7689,              1.5977,             0.15379,              0.4723,             0.22012,             0.13774,                   0,                   0,                   0,           0.0011331,          0.00099706,          0.00099706
                   3,              2.0542,               2.588,              1.4926,              0.1686,             0.39796,             0.25686,             0.19048,                   0,                   0,                   0,          0.00099762,          0.00099762,          0.00099762
                   4,              1.9837,              2.5771,              1.4728,             0.21495,             0.38034,             0.23106,             0.15931,                   0,                   0,                   0,          0.00099762,          0.00099762,          0.00099762
                   5,              1.8179,               2.453,              1.3923,             0.25128,             0.47736,             0.25615,             0.17094,                   0,                   0,                   0,          0.00099683,          0.00099683,          0.00099683
                   6,              1.7544,              2.3953,              1.3936,             0.24479,             0.47633,              0.2798,             0.19355,                   0,                   0,                   0,          0.00099604,          0.00099604,          0.00099604
                   7,              1.7452,              2.4147,              1.3749,             0.48834,             0.35663,             0.25851,             0.17804,                   0,                   0,                   0,          0.00099525,          0.00099525,          0.00099525
                   8,               1.705,              2.3516,              1.3405,             0.23259,             0.45142,             0.29495,             0.17843,                   0,                   0,                   0,          0.00099446,          0.00099446,          0.00099446
                   9,               1.698,              2.2815,              1.3619,             0.26666,             0.31509,             0.26546,             0.19511,                   0,                   0,                   0,          0.00099366,          0.00099366,          0.00099366
                  10,              1.6678,               2.273,              1.3494,             0.30619,             0.51281,             0.30916,             0.21804,                   0,                   0,                   0,          0.00099287,          0.00099287,          0.00099287
                  11,              1.5954,              2.2073,              1.3249,             0.25238,             0.53173,             0.31893,             0.22918,                   0,                   0,                   0,          0.00099208,          0.00099208,          0.00099208
                  12,               1.606,              2.2094,              1.3341,             0.26048,             0.53488,              0.3466,             0.24387,                   0,                   0,                   0,          0.00099129,          0.00099129,          0.00099129
                  13,              1.5971,              2.1592,              1.3112,             0.25329,             0.53844,             0.30826,             0.23017,                   0,                   0,                   0,           0.0009905,           0.0009905,           0.0009905
                  14,              1.5775,              2.1781,              1.3144,             0.26578,             0.43109,             0.29067,             0.23536,                   0,                   0,                   0,           0.0009897,           0.0009897,           0.0009897
                  15,              1.5444,              2.1347,              1.3047,             0.26931,             0.35837,             0.26698,              0.1956,                   0,                   0,                   0,          0.00098891,          0.00098891,          0.00098891
                  16,              1.5236,              2.0744,               1.287,             0.32847,             0.42424,             0.34073,             0.25428,                   0,                   0,                   0,          0.00098812,          0.00098812,          0.00098812
                  17,              1.5286,              2.1328,              1.2983,             0.30849,             0.49106,              0.3595,             0.25866,                   0,                   0,                   0,          0.00098733,          0.00098733,          0.00098733
                  18,              1.4966,              2.0441,              1.2885,             0.34808,             0.55032,             0.40253,             0.31159,                   0,                   0,                   0,          0.00098654,          0.00098654,          0.00098654
                  19,              1.4795,              2.0264,              1.2733,             0.36314,              0.5573,             0.40729,             0.29959,                   0,                   0,                   0,          0.00098574,          0.00098574,          0.00098574
                  20,              1.4782,              2.0122,              1.2722,               0.318,              0.5271,             0.38683,              0.2768,                   0,                   0,                   0,          0.00098495,          0.00098495,          0.00098495
                  21,              1.4544,              1.9718,              1.2663,              0.3049,             0.56503,             0.35258,             0.24466,                   0,                   0,                   0,          0.00098416,          0.00098416,          0.00098416
                  22,              1.4522,              1.9961,              1.2825,             0.34083,             0.45451,             0.36021,             0.25374,                   0,                   0,                   0,          0.00098337,          0.00098337,          0.00098337
                  23,                1.48,              2.0269,              1.2913,              0.3214,             0.50744,             0.35227,             0.25106,                   0,                   0,                   0,          0.00098258,          0.00098258,          0.00098258
                  24,              1.4964,              1.9901,              1.2929,             0.37041,             0.57008,             0.42291,             0.31508,                   0,                   0,                   0,          0.00098178,          0.00098178,          0.00098178
                  25,              1.4288,              1.9185,              1.2491,             0.34203,             0.42971,              0.3296,             0.25542,                   0,                   0,                   0,          0.00098099,          0.00098099,          0.00098099
                  26,              1.4342,              1.9465,              1.2765,             0.39217,             0.52244,             0.42308,             0.33475,                   0,                   0,                   0,           0.0009802,           0.0009802,           0.0009802
                  27,              1.4345,              1.9203,              1.2675,             0.38738,             0.51953,             0.41915,             0.33673,                   0,                   0,                   0,          0.00097941,          0.00097941,          0.00097941
                  28,              1.3925,              1.9252,              1.2547,             0.63059,             0.35732,             0.42752,             0.30987,                   0,                   0,                   0,          0.00097862,          0.00097862,          0.00097862
                  29,              1.4137,              1.9129,              1.2778,             0.36354,             0.54638,             0.42723,             0.35754,                   0,                   0,                   0,          0.00097782,          0.00097782,          0.00097782
                  30,              1.3943,              1.9242,              1.2585,             0.37393,             0.53657,             0.41431,             0.33571,                   0,                   0,                   0,          0.00097703,          0.00097703,          0.00097703
                  31,              1.3843,              1.8648,              1.2495,             0.39866,             0.56049,             0.46418,              0.3309,                   0,                   0,                   0,          0.00097624,          0.00097624,          0.00097624
                  32,              1.3848,              1.8915,              1.2474,             0.37092,             0.54536,              0.4301,             0.32166,                   0,                   0,                   0,          0.00097545,          0.00097545,          0.00097545
                  33,              1.4036,               1.857,              1.2521,             0.34778,             0.55696,             0.43466,             0.33754,                   0,                   0,                   0,          0.00097466,          0.00097466,          0.00097466
                  34,              1.3709,              1.8946,              1.2475,             0.40052,              0.5299,             0.45449,             0.34112,                   0,                   0,                   0,          0.00097386,          0.00097386,          0.00097386
                  35,              1.4071,              1.8538,              1.2501,             0.42011,              0.4377,             0.41572,             0.29731,                   0,                   0,                   0,          0.00097307,          0.00097307,          0.00097307
                  36,              1.3886,              1.8986,              1.2625,             0.37451,             0.56697,             0.43897,             0.31269,                   0,                   0,                   0,          0.00097228,          0.00097228,          0.00097228
                  37,              1.3846,              1.8374,              1.2608,             0.41698,             0.52233,             0.43702,             0.31106,                   0,                   0,                   0,          0.00097149,          0.00097149,          0.00097149
                  38,              1.3842,              1.8403,              1.2621,             0.45236,             0.55655,             0.49476,             0.36086,                   0,                   0,                   0,           0.0009707,           0.0009707,           0.0009707
                  39,              1.3723,              1.8497,              1.2429,             0.41631,             0.54616,             0.46256,             0.37685,                   0,                   0,                   0,           0.0009699,           0.0009699,           0.0009699
                  40,              1.3626,              1.8131,              1.2542,               0.388,             0.54758,             0.46122,             0.35907,                   0,                   0,                   0,          0.00096911,          0.00096911,          0.00096911
                  41,              1.3884,              1.8083,              1.2583,             0.45382,             0.55754,             0.50241,             0.37517,                   0,                   0,                   0,          0.00096832,          0.00096832,          0.00096832
                  42,              1.3535,              1.7955,              1.2493,             0.42858,             0.56508,             0.46497,             0.36564,                   0,                   0,                   0,          0.00096753,          0.00096753,          0.00096753
                  43,              1.3918,              1.8129,              1.2583,             0.43742,             0.57367,             0.46349,             0.37554,                   0,                   0,                   0,          0.00096674,          0.00096674,          0.00096674
                  44,              1.3595,              1.7799,              1.2403,             0.41509,             0.58527,             0.47385,             0.37609,                   0,                   0,                   0,          0.00096594,          0.00096594,          0.00096594
                  45,              1.3161,              1.8067,              1.2441,             0.41602,             0.59372,             0.48914,             0.40023,                   0,                   0,                   0,          0.00096515,          0.00096515,          0.00096515
                  46,              1.3464,               1.764,              1.2361,             0.46448,             0.56689,              0.4937,               0.401,                   0,                   0,                   0,          0.00096436,          0.00096436,          0.00096436
                  47,              1.3263,              1.7686,               1.238,             0.48354,             0.48234,             0.49203,             0.38038,                   0,                   0,                   0,          0.00096357,          0.00096357,          0.00096357
                  48,              1.3567,              1.7521,              1.2423,             0.47142,             0.53164,             0.49741,             0.39661,                   0,                   0,                   0,          0.00096278,          0.00096278,          0.00096278
                  49,              1.3327,              1.7448,              1.2279,             0.40146,             0.59783,              0.4847,             0.39813,                   0,                   0,                   0,          0.00096198,          0.00096198,          0.00096198
                  50,              1.3379,              1.7679,              1.2324,             0.32732,             0.58954,             0.34371,             0.25018,                   0,                   0,                   0,          0.00096119,          0.00096119,          0.00096119
                  51,              1.2954,              1.7097,              1.2451,             0.44349,             0.59831,              0.5125,             0.38633,                   0,                   0,                   0,           0.0009604,           0.0009604,           0.0009604
                  52,              1.3543,              1.7316,              1.2673,             0.41553,             0.56901,             0.48731,             0.38749,                   0,                   0,                   0,          0.00095961,          0.00095961,          0.00095961
