               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              6.0818,              9.9893,              5.9137,           0.0018211,            0.011419,          0.00014599,          2.4029e-05,                   0,                   0,                   0,            0.070122,           0.0033197,           0.0033197
                   1,              4.5342,              6.8499,              4.7514,            0.015732,             0.19823,            0.012754,           0.0028682,                   0,                   0,                   0,            0.040117,           0.0066478,           0.0066478
                   2,              3.0554,              4.2878,               3.054,             0.27934,            0.061151,             0.03791,            0.007382,                   0,                   0,                   0,            0.010107,           0.0099706,           0.0099706
                   3,              2.7759,              3.3546,              2.3289,            0.024602,             0.24865,            0.029265,           0.0056504,                   0,                   0,                   0,           0.0099762,           0.0099762,           0.0099762
                   4,              2.5444,                3.01,               2.082,             0.18392,              0.2664,              0.1323,            0.035593,                   0,                   0,                   0,           0.0099762,           0.0099762,           0.0099762
                   5,                2.45,              2.8387,              1.9122,             0.18177,             0.50981,             0.19679,            0.064097,                   0,                   0,                   0,           0.0099683,           0.0099683,           0.0099683
                   6,              2.3898,              2.7566,              1.8738,             0.18685,             0.41591,             0.14674,            0.033788,                   0,                   0,                   0,           0.0099604,           0.0099604,           0.0099604
                   7,              2.3613,              2.7103,              1.8274,             0.14204,             0.14627,             0.10271,            0.025285,                   0,                   0,                   0,           0.0099525,           0.0099525,           0.0099525
                   8,              2.3313,              2.6194,                1.77,             0.20478,             0.31606,             0.17682,            0.041998,                   0,                   0,                   0,           0.0099446,           0.0099446,           0.0099446
                   9,              2.3309,              2.5876,               1.782,             0.15772,             0.38275,             0.16407,             0.03029,                   0,                   0,                   0,           0.0099366,           0.0099366,           0.0099366
                  10,              2.2451,              2.4992,              1.7269,             0.19251,             0.46951,              0.2055,            0.058817,                   0,                   0,                   0,           0.0099287,           0.0099287,           0.0099287
                  11,              2.2477,              2.5088,              1.7385,             0.22115,             0.50139,             0.21489,            0.050064,                   0,                   0,                   0,           0.0099208,           0.0099208,           0.0099208
                  12,              2.2374,              2.4463,              1.7266,             0.22469,              0.4385,             0.19867,            0.043949,                   0,                   0,                   0,           0.0099129,           0.0099129,           0.0099129
                  13,               2.235,              2.4354,              1.6961,             0.21489,             0.48917,             0.22658,            0.050964,                   0,                   0,                   0,            0.009905,            0.009905,            0.009905
                  14,              2.2077,               2.438,              1.7179,             0.24451,             0.39277,             0.24801,            0.052874,                   0,                   0,                   0,            0.009897,            0.009897,            0.009897
                  15,              2.2013,              2.4069,              1.6991,             0.23682,             0.45601,             0.24403,             0.06098,                   0,                   0,                   0,           0.0098891,           0.0098891,           0.0098891
                  16,              2.1384,              2.3241,              1.6498,              0.2812,             0.50095,             0.29182,             0.10723,                   0,                   0,                   0,           0.0098812,           0.0098812,           0.0098812
                  17,              2.1775,              2.3412,              1.6824,             0.26244,              0.4061,             0.27119,            0.091585,                   0,                   0,                   0,           0.0098733,           0.0098733,           0.0098733
                  18,              2.1667,              2.3235,              1.6596,             0.21019,             0.51512,             0.27082,            0.094553,                   0,                   0,                   0,           0.0098654,           0.0098654,           0.0098654
                  19,               2.125,              2.2756,              1.6385,             0.23917,             0.54146,              0.2807,            0.091458,                   0,                   0,                   0,           0.0098574,           0.0098574,           0.0098574
                  20,              2.1281,              2.2673,               1.651,             0.31268,             0.49558,             0.33308,             0.12412,                   0,                   0,                   0,           0.0098495,           0.0098495,           0.0098495
                  21,              2.1131,              2.2285,              1.6346,             0.13564,             0.46783,             0.20025,            0.084078,                   0,                   0,                   0,           0.0098416,           0.0098416,           0.0098416
                  22,              2.0852,              2.2463,              1.6366,             0.28616,             0.36825,             0.26752,             0.11071,                   0,                   0,                   0,           0.0098337,           0.0098337,           0.0098337
                  23,              2.1155,              2.2532,               1.647,             0.21175,             0.49274,             0.28933,             0.14223,                   0,                   0,                   0,           0.0098258,           0.0098258,           0.0098258
                  24,              2.0904,               2.208,              1.6362,             0.31437,             0.51535,             0.34259,             0.16006,                   0,                   0,                   0,           0.0098178,           0.0098178,           0.0098178
                  25,              2.0817,              2.1915,              1.6136,             0.30013,             0.40553,             0.29876,             0.10417,                   0,                   0,                   0,           0.0098099,           0.0098099,           0.0098099
                  26,              2.0648,              2.1784,              1.6277,             0.33234,             0.55134,             0.39237,             0.17233,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                  27,               2.079,              2.1698,              1.6291,             0.32084,             0.51545,             0.38897,               0.198,                   0,                   0,                   0,           0.0097941,           0.0097941,           0.0097941
