               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               7.062,              15.649,              6.3441,            0.025899,           0.0046721,          0.00089318,          0.00017047,                   0,                   0,                   0,            0.071526,           0.0025299,           0.0025299
                   1,              5.3219,              7.9531,              4.7559,            0.071922,             0.30399,            0.059478,            0.021528,                   0,                   0,                   0,            0.042931,           0.0050662,           0.0050662
                   2,              3.1325,              4.0447,              2.8866,             0.11077,             0.49281,             0.12223,             0.05417,                   0,                   0,                   0,            0.014333,           0.0075984,           0.0075984
                   3,              2.4565,              3.1189,              2.0735,             0.21587,             0.40068,             0.20711,             0.11068,                   0,                   0,                   0,           0.0081406,           0.0081406,           0.0081406
                   4,              2.0457,              2.7717,              1.7159,             0.18917,             0.48927,             0.21269,             0.12435,                   0,                   0,                   0,           0.0081406,           0.0081406,           0.0081406
                   5,              1.8945,              2.5453,              1.5815,             0.21087,             0.41752,              0.2477,             0.17689,                   0,                   0,                   0,           0.0081342,           0.0081342,           0.0081342
                   6,              1.7792,              2.4578,              1.4925,             0.21731,             0.41614,             0.23911,             0.14441,                   0,                   0,                   0,           0.0081277,           0.0081277,           0.0081277
                   7,              1.6967,              2.3081,              1.4722,             0.20851,             0.50701,             0.26874,             0.16307,                   0,                   0,                   0,           0.0081212,           0.0081212,           0.0081212
                   8,               1.639,              2.2239,              1.4313,             0.21812,             0.44791,             0.26877,             0.18373,                   0,                   0,                   0,           0.0081148,           0.0081148,           0.0081148
                   9,              1.5668,              2.1814,              1.3776,             0.24142,             0.54692,             0.28697,             0.18813,                   0,                   0,                   0,           0.0081083,           0.0081083,           0.0081083
                  10,              1.5568,              2.1197,              1.3787,             0.26247,             0.49006,             0.26976,             0.16893,                   0,                   0,                   0,           0.0081019,           0.0081019,           0.0081019
                  11,              1.5327,              2.0503,              1.3577,             0.28726,             0.51601,             0.31042,             0.20697,                   0,                   0,                   0,           0.0080954,           0.0080954,           0.0080954
                  12,                1.48,              2.0315,              1.3371,             0.25936,             0.54363,             0.34169,             0.23445,                   0,                   0,                   0,           0.0080889,           0.0080889,           0.0080889
                  13,              1.4584,              1.9682,              1.3321,             0.31299,             0.55029,             0.34534,             0.24176,                   0,                   0,                   0,           0.0080825,           0.0080825,           0.0080825
                  14,              1.4336,              1.9621,              1.3205,             0.33135,             0.53669,             0.36613,             0.24398,                   0,                   0,                   0,            0.008076,            0.008076,            0.008076
                  15,               1.454,              1.9253,              1.3103,             0.33415,             0.53051,             0.37029,             0.26173,                   0,                   0,                   0,           0.0080696,           0.0080696,           0.0080696
                  16,              1.3891,              1.9018,              1.2906,             0.28197,             0.49042,             0.29426,             0.21625,                   0,                   0,                   0,           0.0080631,           0.0080631,           0.0080631
                  17,              1.3915,              1.9054,              1.3086,             0.33257,             0.58051,             0.40065,             0.30182,                   0,                   0,                   0,           0.0080566,           0.0080566,           0.0080566
                  18,              1.3731,              1.8684,              1.3035,             0.34742,             0.56635,             0.40493,             0.29111,                   0,                   0,                   0,           0.0080502,           0.0080502,           0.0080502
                  19,              1.3469,              1.8043,               1.273,             0.38537,             0.57553,             0.42632,             0.30715,                   0,                   0,                   0,           0.0080437,           0.0080437,           0.0080437
                  20,              1.3272,              1.7979,              1.2738,             0.39654,             0.61334,             0.43978,             0.29332,                   0,                   0,                   0,           0.0080373,           0.0080373,           0.0080373
                  21,              1.3193,               1.769,              1.2806,             0.30063,             0.53427,             0.36295,             0.24604,                   0,                   0,                   0,           0.0080308,           0.0080308,           0.0080308
                  22,               1.321,              1.7904,               1.273,             0.38679,             0.55636,             0.43702,             0.30611,                   0,                   0,                   0,           0.0080243,           0.0080243,           0.0080243
                  23,               1.325,              1.7286,              1.2827,              0.3948,             0.58133,             0.46517,             0.35109,                   0,                   0,                   0,           0.0080179,           0.0080179,           0.0080179
                  24,              1.2714,              1.7388,              1.2612,             0.41253,             0.56989,             0.45888,             0.31103,                   0,                   0,                   0,           0.0080114,           0.0080114,           0.0080114
                  25,              1.2905,              1.7322,              1.2619,             0.40719,             0.55824,              0.4421,             0.31132,                   0,                   0,                   0,            0.008005,            0.008005,            0.008005
                  26,              1.2786,              1.7156,              1.2602,              0.4004,             0.57195,             0.44391,             0.32692,                   0,                   0,                   0,           0.0079985,           0.0079985,           0.0079985
                  27,              1.2893,              1.7212,              1.2559,             0.41197,             0.55345,             0.45896,             0.34149,                   0,                   0,                   0,            0.007992,            0.007992,            0.007992
                  28,              1.2676,              1.6867,              1.2541,             0.39528,             0.57997,             0.45171,             0.31511,                   0,                   0,                   0,           0.0079856,           0.0079856,           0.0079856
                  29,              1.2694,              1.6714,              1.2523,             0.38635,             0.61564,             0.49501,             0.36897,                   0,                   0,                   0,           0.0079791,           0.0079791,           0.0079791
                  30,              1.2369,              1.6601,              1.2458,             0.38873,             0.58724,             0.48802,             0.36718,                   0,                   0,                   0,           0.0079727,           0.0079727,           0.0079727
